,x-value46,MH46_in_shelter,MH46_doorway,MH46_with_pellet,MH46_eat_pellet,MH46_freeze,MH46_reaching,MH46_scanning,MH46_stim
19120,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19121,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19122,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19123,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19124,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19126,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19127,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19128,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19130,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19131,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19132,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19133,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19134,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19135,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19136,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19137,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19138,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19139,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19140,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19141,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19142,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19143,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19144,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19145,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19146,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19147,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19148,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19149,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19150,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19151,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19152,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19153,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19154,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19155,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19156,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19157,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19158,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19159,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19160,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19161,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19162,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19163,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19164,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19165,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19166,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19167,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19168,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19169,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19170,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19171,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19172,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19173,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19174,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19175,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19176,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19177,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19178,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19179,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19180,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19181,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19182,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19183,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19184,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19185,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19186,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19187,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19188,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19189,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19190,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19191,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19192,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19193,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19194,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19195,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19196,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19197,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19198,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19199,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19200,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19201,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19202,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19203,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19204,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19205,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19206,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19207,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19208,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19209,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19210,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19211,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19212,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19213,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19214,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19215,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19216,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19217,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19218,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19219,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19220,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19221,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19222,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19223,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19224,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19225,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19226,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19227,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19228,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19229,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19230,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19231,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19232,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19233,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19234,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19235,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19236,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19237,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19238,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19239,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19240,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19241,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19242,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19243,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19244,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19245,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19246,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19247,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19248,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19249,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19250,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19251,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19252,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19253,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19254,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19255,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19256,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19258,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19259,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19260,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19261,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19262,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19263,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19264,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19265,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19266,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19267,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19268,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19269,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19270,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19271,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19272,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19273,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19274,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19275,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19276,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19277,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19278,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19279,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19280,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19281,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19282,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19283,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19284,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19285,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19287,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19288,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19289,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19290,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19291,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19292,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19293,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19294,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19295,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19296,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19297,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19298,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19299,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19300,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19301,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19302,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19303,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19304,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19305,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19306,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19307,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19308,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19309,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19310,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19311,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19312,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19313,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19314,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19315,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19316,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19317,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19318,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19319,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19320,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19321,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19322,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19323,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19324,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19325,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19326,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19327,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19328,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19329,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19330,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19331,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19332,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19335,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19336,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19337,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19338,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19339,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19340,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19341,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19343,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19345,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19346,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19347,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19348,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19349,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19350,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19351,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19352,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19353,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19354,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19355,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19356,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19357,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19358,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19359,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19360,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19361,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19362,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19363,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19364,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19365,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19366,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19367,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19368,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19369,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19370,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19371,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19372,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19373,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19374,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19376,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19377,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19378,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19379,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19380,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19381,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19382,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19383,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19384,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19385,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19386,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19388,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19389,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19390,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19391,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19392,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19393,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19394,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19395,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19396,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19397,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19398,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19399,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19400,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19401,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19402,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19403,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19404,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19405,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19406,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19407,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19408,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19409,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19410,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19411,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19412,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19413,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19414,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19415,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19416,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19417,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19418,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19419,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19420,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19421,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19422,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19423,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19424,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19425,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19426,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19427,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19428,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19429,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19430,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19431,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19432,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19433,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19434,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19435,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19436,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19437,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19438,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19439,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19440,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19441,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19442,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19443,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19445,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19446,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19447,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19448,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19449,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19450,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19451,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19452,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19453,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19454,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19455,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19456,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19457,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19458,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19459,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19460,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19461,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19462,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19463,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19464,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19465,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19466,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19467,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19468,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19469,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19470,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19471,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19472,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19473,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19474,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19475,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19476,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
